Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,title,primaly_price,currency,url
Gray,Black,All-wheel Drive,17–22,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI DOHC,5TDBK3EH8BS054522,Q3671,"88,466 mi.",2011 Toyota Highlander SE,18998.0,$,https://www.cars.com/vehicledetail/b85c2af8-6128-4b76-9702-f542b161469c/
Magnetic Metallic,Ebony,Rear-wheel Drive,15–25,Gasoline,6-Speed,5.0L V8 32V MPFI DOHC,1FATP8FF6F5369255,23KK0915A,"59,082 mi.",2015 Ford Mustang GT Premium,24977.0,$,https://www.cars.com/vehicledetail/2df036bd-14e5-4401-8f39-b8bd222ff66c/
Black,Jet Black,Four-wheel Drive,0–0,Gasoline,Automatic,"Vortec 6L V-8 variable valve control, regular unleaded, engine w",1GC1KWEG0GF149152,23276C,"82,100 mi.",2016 Chevrolet Silverado 2500 LTZ,34994.0,$,https://www.cars.com/vehicledetail/3b5edfd7-58bf-4ef1-960d-d7b3d0f78d29/
Black Sapphire Metallic,Canberra Beige,All-wheel Drive,–,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C06N9J39634,USJ39634,"14,144 mi.",2022 BMW X5 xDrive40i,54990.0,$,https://www.cars.com/vehicledetail/40f03f27-3cbd-4501-aed1-4dba42f99741/
Ceramic Matrix Gray Metallic,Jet Black,Rear-wheel Drive,–,Gasoline,8-Speed Manual,6.2L V8 16V GDI OHV,1G1YC2D45N5107938,CR3898A,"5,221 mi.",2022 Chevrolet Corvette Stingray w/3LT,84281.0,$,https://www.cars.com/vehicledetail/ab1cac24-bd26-4d37-9d86-f1ffa882c3d6/
Soul Red Crystal Metallic,White / Brown,All-wheel Drive,22–30,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,3MVDMBDY4NM431235,M16795A,"9,036 mi.",2022 Mazda CX-30 2.5 Turbo Premium Package,28000.0,$,https://www.cars.com/vehicledetail/53c510ed-9b99-4799-83be-38b710ef2bf0/
Blade Silver Metallic,Adrenaline Red,Rear-wheel Drive,16–25,Gasoline,7-Speed Manual,6.2L V8 16V GDI OHV,1G1YA2D71J5100026,C2154,"9,901 mi.",2018 Chevrolet Corvette Stingray,50995.0,$,https://www.cars.com/vehicledetail/a5979bc3-c7d7-46ee-a681-1072f6b5f3b6/
Santiago Silver,Black,All-wheel Drive,16–25,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,KMHGN4JE3HU191835,HU191835,"92,026 mi.",2017 Genesis G80 3.8,17233.0,$,https://www.cars.com/vehicledetail/34caf399-b599-4ed4-9840-cd1831cd092c/
Metallic,Natural,Rear-wheel Drive,16–24,Gasoline,8-Speed Automatic with Auto-Shift,6.2L V8 16V GDI OHV,1G1YC3D47P5119016,C3182,"1,684 mi.",2023 Chevrolet Corvette Stingray w/3LT,98995.0,$,https://www.cars.com/vehicledetail/3ffdb42a-74f3-4d14-941a-672e0dae2974/
Oxford White,Ebony,Four-wheel Drive,17–22,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FMJU2AT0LEA88094,M11327P,"67,908 mi.",2020 Ford Expedition Limited,41488.0,$,https://www.cars.com/vehicledetail/14e20182-20bc-478d-b06a-01b9a46e322e/
White,–,Four-wheel Drive,14–19,Gasoline,6-Speed Automatic,5.0L V8 32V MPFI DOHC,1FTFW1EF8DFA38607,15790PB,"176,560 mi.",2013 Ford F-150 Platinum,15495.0,$,https://www.cars.com/vehicledetail/c20ddce9-0add-466a-8c88-cc8a2254dd41/
Summit White,Jet Black,Four-wheel Drive,15–19,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GKS2HKD7NR115218,AT60748,"36,872 mi.",2022 GMC Yukon XL AT4,72934.0,$,https://www.cars.com/vehicledetail/25f93d96-2549-4197-b639-63f44da81c9f/
Silver Storm Metallic,Magnolia,All-wheel Drive,12–19,E85 Flex Fuel,6-Speed Automatic,6.0L W12 48V MPFI DOHC Twin Turbo Flexible Fuel,SCBFR7ZA8CC073563,EX073563C,"7,541 mi.",2012 Bentley Continental GT Base,87990.0,$,https://www.cars.com/vehicledetail/a82c32e5-5bd0-4b4f-8282-02cba24d79d4/
White,Graphite,All-wheel Drive,20–28,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,5N1AZ2CS2LN119853,L12068,"33,261 mi.",2020 Nissan Murano SL,26993.0,$,https://www.cars.com/vehicledetail/1a14ec04-2a2b-411a-8388-2d672d3dad32/
Black Clearcoat,Black,Four-wheel Drive,16–21,Gasoline,5-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4HJWFG5FL740156,Z2537,"76,383 mi.",2015 Jeep Wrangler Unlimited Rubicon,27520.0,$,https://www.cars.com/vehicledetail/2df4c325-3db0-4ff3-ad5f-babcffffc367/
Jet Black Mica,Caturra Brown,All-wheel Drive,22–27,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,JM3KFBXY0N0639072,G41265B1,"9,945 mi.",2022 Mazda CX-5 2.5 Turbo Signature,34000.0,$,https://www.cars.com/vehicledetail/a58c6d47-6ea6-4ff8-aab8-807923aa9fe9/
Deep Sea Mica,Parchment,Front-wheel Drive,18–25,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,2T2ZK1BAXDC126659,62112356A,"112,460 mi.",2013 Lexus RX 350 Base,16741.0,$,https://www.cars.com/vehicledetail/bd7e1a70-1f19-47c1-b5aa-322f695a500d/
Blue Dusk,Black,Rear-wheel Drive,,,1-Speed Automatic,2.0L I4 OHV Electric,WVGDMPE20MP018726,CV4046A,"23,275 mi.",2021 Volkswagen ID.4 1st Edition,29990.0,$,https://www.cars.com/vehicledetail/6a92da19-fb39-4e3a-90ca-ef77375fd2ec/
Midnight Black Metallic,Graphite,Four-wheel Drive,13–17,Gasoline,6-Speed Automatic,5.7L V8 32V MPFI DOHC,5TDJY5G18JS159601,N17624TC,"58,659 mi.",2018 Toyota Sequoia Limited,42600.0,$,https://www.cars.com/vehicledetail/4113f52e-d2b3-4998-bf46-2f20a06d3176/
Summit White,Black,Front-wheel Drive,28–39,Gasoline,6-Speed Manual,1.4L I4 16V GDI DOHC Turbo,1G1BB5SMXH7226848,R1607Z,"109,235 mi.",2017 Chevrolet Cruze LS,9597.0,$,https://www.cars.com/vehicledetail/0cdd97c8-4495-457a-a837-3fa81b9fe186/
Black,Titanium Gray,Rear-wheel Drive,–,Gasoline,6-Speed Manual,6.0L V8 16V MPFI OHV,1G1YY36U775115255,TPDS5632,"33,536 mi.",2007 Chevrolet Corvette Base,28731.0,$,https://www.cars.com/vehicledetail/b518045e-6b33-40bc-8eee-3e9b1bd53082/
Ingot Silver,Medium Earth Gray,Four-wheel Drive,–,E85 Flex Fuel,6-Speed Automatic,6.2L V8 16V MPFI SOHC Flexible Fuel,1FT7W2B60HEF32020,TJ162,"108,102 mi.",2017 Ford F-250 XLT,32798.0,$,https://www.cars.com/vehicledetail/197e011a-62ae-4e48-8bf9-e933342e2156/
White Diamond,Black,Four-wheel Drive,24–30,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,JA4J4TA86NZ019308,16651A,"14,600 mi.",2022 Mitsubishi Outlander ES,28500.0,$,https://www.cars.com/vehicledetail/9c6cdba1-c645-4436-b244-3f1a16fcb903/
Black,Canberra Beige,All-wheel Drive,23–31,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA73BJ07MWW98056,W98056,"14,136 mi.",2021 BMW 540 i xDrive,48250.0,$,https://www.cars.com/vehicledetail/5ed1ecf9-7868-4c86-82a1-b079052b02cd/
Agate Black,Ebony,Four-wheel Drive,17–22,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FMJU2AT8LEA77070,P17873,"27,637 mi.",2020 Ford Expedition Limited,50700.0,$,https://www.cars.com/vehicledetail/6b9f75a4-6a91-41da-b34f-3576605ba91f/
White,–,All-wheel Drive,18–23,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,4JGFD6BB0MA207645,OB078,"12,160 mi.",2021 Mercedes-Benz AMG GLE 53 Base,74372.0,$,https://www.cars.com/vehicledetail/ce8fe40b-69b6-469f-ae91-101176c4030f/
Black Sapphire Metallic,Black,All-wheel Drive,18–24,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXKU2C52G0N83941,G0N83941,"100,727 mi.",2016 BMW X6 xDrive35i,23900.0,$,https://www.cars.com/vehicledetail/8c7c0c1f-9fc2-408b-aafe-715be2484da5/
White,Ginger Beige,All-wheel Drive,16–22,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,4JGDF6EE8KB233439,17682T,"64,175 mi.",2019 Mercedes-Benz GLS 450 Base 4MATIC,33971.0,$,https://www.cars.com/vehicledetail/18cf45b7-047e-4708-81dd-e03823db5d69/
Ice Edge,Black,Front-wheel Drive,27–38,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,4T1K61AK1PU123740,T3652,"9,585 mi.",2023 Toyota Camry XSE,31919.0,$,https://www.cars.com/vehicledetail/205f7e92-98c4-4c54-a586-dc170bf7b21d/
Magnetite Gray Metallic,Gray,All-wheel Drive,27–33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTAPC7LH267168,D6602,"78,829 mi.",2020 Subaru Crosstrek Premium,23399.0,$,https://www.cars.com/vehicledetail/f57ca708-162d-4ed5-8a90-36f87977b49e/
Black,Black,All-wheel Drive,18–22,Gasoline,7-Speed Automatic,3.5L V6 24V GDI DOHC,4JGDA5HB7JB066323,13190,"62,913 mi.",2018 Mercedes-Benz GLE 350 Base 4MATIC,26500.0,$,https://www.cars.com/vehicledetail/aa1d96f1-5c49-4a5a-972a-15b113855c2b/
Pure White,Titan Black / Quarzit,All-wheel Drive,17–23,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2TE2CA6MC227758,20695A,"30,665 mi.",2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium,36999.0,$,https://www.cars.com/vehicledetail/2de6fcf9-d59f-48d0-9ad9-3ed685350ff6/
Black,Black,Front-wheel Drive,25–35,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,4T1BF1FKXFU479725,479725,"118,328 mi.",2015 Toyota Camry LE,18995.0,$,https://www.cars.com/vehicledetail/2f96f986-0f8b-48ff-b34e-4c67cdbab06f/
Jet Black,Black,All-wheel Drive,22–29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTR9C52JLD74271,P11998,"110,126 mi.",2018 BMW X3 xDrive30i,17000.0,$,https://www.cars.com/vehicledetail/1dff6b69-ed82-4d6b-a851-b69f57173918/
Black,Black,All-wheel Drive,14–23,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SJAAM2ZV3KC024959,13544,"25,205 mi.",2019 Bentley Bentayga V8,107777.0,$,https://www.cars.com/vehicledetail/d45d4bf7-7dcc-424f-9656-12ecb8c7690b/
Mineral White Metallic,Black,Rear-wheel Drive,22–29,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA7T2C01LCD53542,15341,"28,818 mi.",2020 BMW 740 i,44000.0,$,https://www.cars.com/vehicledetail/c15018a1-37b4-424e-9ffe-2f41f6eac036/
White,Black,All-wheel Drive,22–30,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA18NAF45JA034588,NJ172B3,"69,201 mi.",2018 Audi A4 allroad 2.0T Premium,28624.0,$,https://www.cars.com/vehicledetail/f2493066-eff8-437a-a839-5c6951bf7da1/
Alpine White,Black / Blue,Rear-wheel Drive,18–26,Gasoline,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Turbo,WBS1H9C58GV351964,US351964,"57,726 mi.",2016 BMW M2 Base,37990.0,$,https://www.cars.com/vehicledetail/2ca3dd4a-39cc-4904-bfee-93df7ff32e52/
Dark Gray,Ebony,Four-wheel Drive,–,E85 Flex Fuel,6-Speed Automatic,6.2L V8 16V MPFI OHV Flexible Fuel,5GRGN83269H102413,102413,"100,231 mi.",2009 Hummer H2 SUV Luxury,34950.0,$,https://www.cars.com/vehicledetail/a35d230c-b893-4893-ad72-56b7cb60d768/
Liquid Platinum,Black,Rear-wheel Drive,16–24,Gasoline,8-Speed Automatic,4.6L V8 32V PDI DOHC,JTHBL5EF7D5121416,134074,"122,441 mi.",2013 Lexus LS 460 Base,18499.0,$,https://www.cars.com/vehicledetail/1038f1f7-ad5a-4004-bc56-213fbe0055ba/
Ultra White,Red,Front-wheel Drive,22–31,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,58AGZ1B1XMU082712,AL1287P,"43,442 mi.",2021 Lexus ES 350 F Sport,34995.0,$,https://www.cars.com/vehicledetail/75799bed-3e9f-4726-8cde-c09a41e47eb2/
Navy Blue,Beige,Front-wheel Drive,21–30,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,58ABK1GG1HU058431,058431,"103,583 mi.",2017 Lexus ES 350 Base,20000.0,$,https://www.cars.com/vehicledetail/c59b67be-bb9e-409e-8db4-7ced125be3cd/
Black,–,All-wheel Drive,,,1-Speed Automatic,Electric,1FTVW1EL6NWG10602,P8119,"1,020 mi.",2022 Ford F-150 Lightning LARIAT,69998.0,$,https://www.cars.com/vehicledetail/92faa738-5dce-4a18-b66c-f351d75a4518/
Radiant Red,Black,AWD,–,–,1-Speed Automatic,Electric,3GNKDCRJ3RS143032,T40240,–,2024 Chevrolet Blazer EV RS,60710.0,$,https://www.cars.com/vehicledetail/d588b78a-76d7-4222-8ac3-7d39305dc483/
Fuji White,Ebony,Four-wheel Drive,19–26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,SAL1P9EU9PA112244,B10673P,776 mi.,2023 Land Rover Range Rover Sport SE,99900.0,$,https://www.cars.com/vehicledetail/163f50ab-9e0b-403b-be0f-625e003a80df/
Delmonico Red Pearlcoat,Diesel Gray / Black,Four-wheel Drive,19–24,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C6RRFFG6LN230130,B7461,"121,349 mi.",2020 RAM 1500 Big Horn,28497.0,$,https://www.cars.com/vehicledetail/44a92afd-68d7-403a-809d-7b66846f6d9d/
White,Black,Front-wheel Drive,20–28,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,3GNAL3EK3DS582432,A5127,"91,067 mi.",2013 Chevrolet Captiva Sport LT,9303.0,$,https://www.cars.com/vehicledetail/416ffdef-2416-42be-b0c0-a38ce3bc5003/
Black,Black,Rear-wheel Drive,22–31,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1KWJ8DB3PG128354,PG128354,"5,303 mi.",2023 Mercedes-Benz C-Class C 300,55645.0,$,https://www.cars.com/vehicledetail/0085f8d4-3583-4ea0-b975-37066efc1d72/
Cardiff Green,Black/Black,All-wheel Drive,18–23,Gasoline,Automatic,"3.5L V-6 port/direct injection, DOHC, variable valve control, tw",KMUHCESC2PU111230,PU111230,"7,546 mi.",2023 Genesis GV80 3.5T,63200.0,$,https://www.cars.com/vehicledetail/a54006f2-3aa1-4555-8e02-0402c3401e95/
Blue,Black,Four-wheel Drive,17–22,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,5TFNA5EC0NX008245,P2179,"23,189 mi.",2022 Toyota Tundra Platinum,59215.0,$,https://www.cars.com/vehicledetail/4aef3f8e-f911-45fc-8c51-f7d292341b0e/
Velvet Red Pearlcoat,Global Black,Four-wheel Drive,15–20,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C4SJVBT4NS144530,14523P,"34,801 mi.",2022 Jeep Wagoneer Series II,60988.0,$,https://www.cars.com/vehicledetail/fb6b7579-baf6-49c5-9ac1-3f8ee04f8e05/
Ultra White,Red,Front-wheel Drive,20–27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2SZMAA8LC174708,LC174708,"37,776 mi.",2020 Lexus RX 350 F Sport,39490.0,$,https://www.cars.com/vehicledetail/a0343566-1ca5-4603-8ba5-14f52e3bb6cc/
B5 Blue Pearlcoat,Black,Rear-wheel Drive,15–25,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ4JH337717,DP1543,"23,965 mi.",2018 Dodge Charger R/T 392,41488.0,$,https://www.cars.com/vehicledetail/ef1f9cbe-5586-4fc3-b5e5-8d830f7eb063/
White,Black,All-wheel Drive,17–22,Gasoline,7-Speed Automatic with Auto-Shift,2.9L V6 24V GDI DOHC Twin Turbo,WP1AF2A59LLB60243,B60243,"27,400 mi.",2020 Porsche Macan Turbo,68000.0,$,https://www.cars.com/vehicledetail/ebb152f7-f007-4f2e-9589-d13dacb8dac9/
White,Black,Rear-wheel Drive,18–23,Gasoline,8-Speed Automatic with Auto-Shift,3.0L H6 24V GDI DOHC Twin Turbo,WP0AB2A98MS221072,MS221072,"25,686 mi.",2021 Porsche 911 Carrera S,117995.0,$,https://www.cars.com/vehicledetail/f6481a21-13af-4e7f-bc96-81555421354c/
Brilliant Black,Black,Front-wheel Drive,24–33,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,",WAUCFAFC0GN011125,011125-HCD,"59,781 mi.",2016 Audi A6 2.0T Premium,21795.0,$,https://www.cars.com/vehicledetail/af5c5ee1-c95d-4697-9a9d-87cd95a2bcf2/
Agate Black Metallic,Medium Earth Gray,Four-wheel Drive,–,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTFW1E4XLFB80227,LFB8022B,"33,986 mi.",2020 Ford F-150 XLT,38435.0,$,https://www.cars.com/vehicledetail/944da328-24e9-4d09-b725-dd74a086700f/
Ruby Flare Pearl,Black,Front-wheel Drive,27–35,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,2T3H1RFV4LW091443,LW091443,"42,490 mi.",2020 Toyota RAV4 LE,26461.0,$,https://www.cars.com/vehicledetail/58f66c93-b90b-4fab-b79a-ad7501c7d601/
Celestial Silver Metallic,Black,Four-wheel Drive,17–22,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,5TFNA5EC5PX017705,G3312,120 mi.,2023 Toyota Tundra Platinum,63500.0,$,https://www.cars.com/vehicledetail/4a4a94ae-bbf5-4998-994e-8890a799f54b/
Cayenne Red Tintcoat,Jet Black,Four-wheel Drive,15–19,Gasoline,Automatic,Gas V8 5.3L/,1GKS2HKD3MR373377,8333B,"43,108 mi.",2021 GMC Yukon XL AT4,64740.0,$,https://www.cars.com/vehicledetail/9b0d4dd8-fa33-4414-9339-50b20e3dfcd9/
Tornado Red,Beige,All-wheel Drive,21–30,Gasoline,6-Speed Manual,1.8L I4 16V GDI DOHC Turbo,3VWM17AU6KM518345,P8492,"62,490 mi.",2019 Volkswagen Golf Alltrack TSI S,22998.0,$,https://www.cars.com/vehicledetail/58885c7a-6689-42c8-8351-8f929397a53d/
Shadow Black,Black,Four-wheel Drive,19–24,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FTEW1E55JKE48805,JKE48805A,"74,258 mi.",2018 Ford F-150 Lariat,34962.0,$,https://www.cars.com/vehicledetail/6741aaa5-0396-4179-8cf5-8189f9f6f3f8/
Navarra Blue Metallic,Black,All-wheel Drive,21–30,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WAUB4CF52KA092739,C2835A,"52,457 mi.",2019 Audi S5 3.0T Premium Plus,34525.0,$,https://www.cars.com/vehicledetail/839b9cfa-daca-4857-8105-f59479807698/
Black Noir Pearl,Gray,All-wheel Drive,21–26,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC,KM8J3CA42HU333041,27653,"54,041 mi.",2017 Hyundai Tucson SE,16900.0,$,https://www.cars.com/vehicledetail/4f1c3b76-ab87-4c75-adf9-c35fc27333bf/
Crystal White Pearl,Black,All-wheel Drive,20–26,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4WMAPD1M3420184,LP4103,"40,498 mi.",2021 Subaru Ascent Limited 7-Passenger,32515.0,$,https://www.cars.com/vehicledetail/30fda4c2-a768-42d9-9266-4d91c80fbcd1/
Ebony Black,Black,Front-wheel Drive,20–26,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP64HC7NG210258,X3315,"32,969 mi.",2022 Kia Telluride S,37777.0,$,https://www.cars.com/vehicledetail/13f18221-9454-41e4-8905-88432d9f8b10/
–,Black,Rear-wheel Drive,21–28,Gasoline,Automatic,"2L I-4 DOHC, variable valve control, premium unleaded, engine wi",JM1NC2FF4A0210963,21788-2,"139,522 mi.",2010 Mazda MX-5 Miata Grand Touring,10000.0,$,https://www.cars.com/vehicledetail/9159a83c-2c0e-43c3-aacb-3f16a653126b/
Granite Crystal Clearcoat Metallic,Black,Four-wheel Drive,16–21,Gasoline,6-Speed Manual,3.6L V6 24V MPFI DOHC,1C4BJWEG9GL329349,A23482A,"95,818 mi.",2016 Jeep Wrangler Unlimited Sahara,22210.0,$,https://www.cars.com/vehicledetail/5b7c1d6b-2d7c-4316-8747-065ee6a98131/
Imperial Blue Metallic,Tan,All-wheel Drive,18–24,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXKR0C37H0V70933,TPP0953,"167,354 mi.",2017 BMW X5 xDrive35i,17901.0,$,https://www.cars.com/vehicledetail/675a712e-8f34-4358-896b-0c734fa2652e/
White,Black,Rear-wheel Drive,17–23,Gasoline,7-Speed Manual,3.0L H6 24V GDI DOHC Twin Turbo,WP0AB2A97NS223056,TNS223056,"5,043 mi.",2022 Porsche 911 Carrera GTS,189996.0,$,https://www.cars.com/vehicledetail/b164bb37-beda-46d5-bdf6-745b5f7018ce/
Silver,Charcoal,All-wheel Drive,,,1-Speed Automatic,Electric,YV4ED3UK2P2992841,VR1715266T,906 mi.,2023 Volvo XC40 Recharge Pure Electric Twin Core,41883.0,$,https://www.cars.com/vehicledetail/421dc12a-2818-4252-a0a8-3bcc1ccff829/
–,Black,Rear-wheel Drive,–,Diesel,5-Speed Automatic,3.0L V6 24V DDI DOHC Turbo Diesel,WD3PF3CC2C5639681,JU12255,"55,031 mi.",2012 Mercedes-Benz Sprinter 170 WB,29450.0,$,https://www.cars.com/vehicledetail/0a74a6f9-2b4a-441a-b904-484a9df21416/
Lunar Blue Metallic,Black,All-wheel Drive,15–23,Gasoline,7-Speed Automatic,5.5L V8 32V GDI DOHC Twin Turbo,WDDUG7JB8GA243832,US243832,"53,105 mi.",2016 Mercedes-Benz AMG S AMG S 63 4MATIC,49990.0,$,https://www.cars.com/vehicledetail/7ef279ca-42e4-4142-96f4-223da2502892/
Black,Ebony,Front-wheel Drive,22–27,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5J8TC1H67ML008721,TML008721,"29,745 mi.",2021 Acura RDX A-Spec,32996.0,$,https://www.cars.com/vehicledetail/b2a2f092-f5f6-412a-8356-8dc272c7f865/
Light Ivory,Bordeaux Red,All-wheel Drive,18–23,Gasoline,8-Speed Automatic with Auto-Shift,3.0L H6 24V GDI DOHC Twin Turbo,WP0BB2A97NS231758,P1200C,844 mi.,2022 Porsche 911 Targa 4S,211855.0,$,https://www.cars.com/vehicledetail/d374b4e8-2326-4af9-b0bc-5c0ea54da087/
Ceramic Metallic,Black / Ceramic,Rear-wheel Drive,27–36,Gasoline,6-Speed Automatic,2.0L I4 16V,JM1NDAL73H0105247,28048A,"53,961 mi.",2017 Mazda MX-5 Miata Club,23600.0,$,https://www.cars.com/vehicledetail/c8c50426-e7be-4241-b417-9868e5dc36d7/
Tuxedo Black Metallic,Steel Gray,Four-wheel Drive,16–21,Gasoline,6-Speed Automatic,3.7L V6 24V MPFI DOHC,1FTEX1EM8DFB70970,JXJ1436,"103,425 mi.",2013 Ford F-150 XLT,16961.0,$,https://www.cars.com/vehicledetail/61230498-0eb5-464c-aab2-28ff2a3a5b04/
Silver,Black,Front-wheel Drive,25–32,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,5XYK33AF6PG102167,K3S102167,10 mi.,2023 Kia Sportage EX,27705.0,$,https://www.cars.com/vehicledetail/6d02349b-f564-4a12-8a6a-559ed4701c22/
Black,Red,All-wheel Drive,13–17,Gasoline,Automatic,"4L V-8 gasoline direct injection, DOHC, variable valve control,",WDCYC6BJ3KX307377,P3199,"76,525 mi.",2019 Mercedes-Benz G-Class 4MATIC,119991.0,$,https://www.cars.com/vehicledetail/d904f641-0026-40ad-846a-ffd5b68be362/
Black,Black,All-wheel Drive,18–23,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,4JGFD6BB0NA630520,NU1838,"22,321 mi.",2022 Mercedes-Benz AMG GLE 53 Base,81485.0,$,https://www.cars.com/vehicledetail/b9a37567-7208-4c9f-b339-c92583e3ec2e/
Ice White,Black,All-wheel Drive,–,Gasoline,SHIFTRONIC,2.5L I4 16V PDI DOHC Turbo,5NTJDDAF4NH011372,24TE009A,"16,204 mi.",2022 Hyundai Santa Cruz 2.5T SEL Premium,30413.0,$,https://www.cars.com/vehicledetail/02b983ee-2903-4339-8900-a89ea3eb7d04/
Black,Black,Rear-wheel Drive,16–25,Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV,1G1YB2D7XK5120936,HCC-0936,"35,644 mi.",2019 Chevrolet Corvette Stingray,48995.0,$,https://www.cars.com/vehicledetail/4752636b-a9e5-49cc-b7ea-a5ad2195322a/
Pristine White,Ebony,Four-wheel Drive,16–21,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,5LMJJ2LT8LEL10836,H12584,"67,318 mi.",2020 Lincoln Navigator Reserve,53955.0,$,https://www.cars.com/vehicledetail/e4c06325-a047-4b95-8500-9de778d88903/
Steel Sapphire Metallic,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H24NB047664,PTC10621,"40,888 mi.",2022 Honda Pilot Special Edition,33025.0,$,https://www.cars.com/vehicledetail/164645e5-d3e1-46eb-b35b-bddb5ac0ad17/
Black Sapphire Metallic,Black,All-wheel Drive,23–32,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,3MW5U9J01N8C65016,N8C65016,"26,190 mi.",2022 BMW M340 i xDrive,48993.0,$,https://www.cars.com/vehicledetail/9872ea37-52e3-403f-b273-610fa0cf5047/
Gray,Black,All-wheel Drive,20–26,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WVGBV7AX0FW536186,A5122,"128,054 mi.",2015 Volkswagen Tiguan 4MOTION Auto S,9373.0,$,https://www.cars.com/vehicledetail/7ab900a3-61fb-4165-bf61-c096eea1e464/
Black,Ebony,Four-wheel Drive,16–21,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJK2AT9MEA17290,FU37487,"72,211 mi.",2021 Ford Expedition Max Limited,46043.0,$,https://www.cars.com/vehicledetail/74a78a65-5dbb-4043-931f-200ec2137504/
Red,–,All-wheel Drive,25–33,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,2T3A1RFV5KW062355,20908A,"33,655 mi.",2019 Toyota RAV4 XLE Premium,28800.0,$,https://www.cars.com/vehicledetail/50fb4d71-b814-41f3-a913-d172cac2a92f/
